"Latitude","Longitude","Bathymetry","site"
"-30",153.03,92,"NorthSolitary"
"-29",153.03,36,"EvansHead"
"-28.6",153.03,128,"CapeByron"
"-31.8",153.04,-106,"DiamondHead"
"-30",153.04,107,"NorthSolitary"
"-29",153.04,49,"EvansHead"
"-28.6",153.04,177,"CapeByron"
"-31.8",153.05,-113,"DiamondHead"
"-30",153.05,206,"NorthSolitary"
"-29",153.05,28,"EvansHead"
"-28.6",153.05,205,"CapeByron"
"-31.8",153.06,-121,"DiamondHead"
"-30",153.06,189,"NorthSolitary"
"-29",153.06,24,"EvansHead"
"-28.6",153.06,240,"CapeByron"
"-31.8",153.07,-134,"DiamondHead"
"-30",153.07,206,"NorthSolitary"
"-29",153.07,28,"EvansHead"
"-28.6",153.07,373,"CapeByron"
"-31.8",153.08,-147,"DiamondHead"
"-30",153.08,148,"NorthSolitary"
"-29",153.08,27,"EvansHead"
"-28.6",153.08,267,"CapeByron"
"-31.8",153.09,-162,"DiamondHead"
"-30",153.09,88,"NorthSolitary"
"-29",153.09,23,"EvansHead"
"-28.6",153.09,176,"CapeByron"
"-31.8",153.1,-175,"DiamondHead"
"-30",153.1,98,"NorthSolitary"
"-29",153.1,17,"EvansHead"
"-28.6",153.1,130,"CapeByron"
"-31.8",153.11,-197,"DiamondHead"
"-30",153.11,90,"NorthSolitary"
"-29",153.11,35,"EvansHead"
"-28.6",153.11,123,"CapeByron"
"-31.8",153.12,-208,"DiamondHead"
"-30",153.12,99,"NorthSolitary"
"-29",153.12,26,"EvansHead"
"-28.6",153.12,91,"CapeByron"
"-31.8",153.13,-222,"DiamondHead"
"-30",153.13,106,"NorthSolitary"
"-29",153.13,34,"EvansHead"
"-28.6",153.13,158,"CapeByron"
"-31.8",153.14,-237,"DiamondHead"
"-30",153.14,102,"NorthSolitary"
"-29",153.14,33,"EvansHead"
"-28.6",153.14,178,"CapeByron"
"-31.8",153.15,-254,"DiamondHead"
"-30",153.15,113,"NorthSolitary"
"-29",153.15,23,"EvansHead"
"-28.6",153.15,284,"CapeByron"
"-31.8",153.16,-287,"DiamondHead"
"-30",153.16,49,"NorthSolitary"
"-29",153.16,21,"EvansHead"
"-28.6",153.16,267,"CapeByron"
"-31.8",153.17,-335,"DiamondHead"
"-30",153.17,32,"NorthSolitary"
"-29",153.17,9,"EvansHead"
"-28.6",153.17,222,"CapeByron"
"-31.8",153.18,-406,"DiamondHead"
"-30",153.18,20,"NorthSolitary"
"-29",153.18,7,"EvansHead"
"-28.6",153.18,179,"CapeByron"
"-31.8",153.19,-485,"DiamondHead"
"-30",153.19,22,"NorthSolitary"
"-29",153.19,8,"EvansHead"
"-28.6",153.19,94,"CapeByron"
"-31.8",153.2,-551,"DiamondHead"
"-30",153.2,13,"NorthSolitary"
"-29",153.2,12,"EvansHead"
"-28.6",153.2,62,"CapeByron"
"-31.8",153.21,-605,"DiamondHead"
"-30",153.21,10,"NorthSolitary"
"-29",153.21,5,"EvansHead"
"-28.6",153.21,51,"CapeByron"
"-31.8",153.22,-618,"DiamondHead"
"-30",153.22,1,"NorthSolitary"
"-29",153.22,5,"EvansHead"
"-28.6",153.22,81,"CapeByron"
"-31.8",153.23,-630,"DiamondHead"
"-30",153.23,-2,"NorthSolitary"
"-29",153.23,9,"EvansHead"
"-28.6",153.23,91,"CapeByron"
"-31.8",153.24,-645,"DiamondHead"
"-30",153.24,-3,"NorthSolitary"
"-29",153.24,9,"EvansHead"
"-28.6",153.24,131,"CapeByron"
"-31.8",153.25,-667,"DiamondHead"
"-30",153.25,-5,"NorthSolitary"
"-29",153.25,4,"EvansHead"
"-28.6",153.25,216,"CapeByron"
"-31.8",153.26,-733,"DiamondHead"
"-30",153.26,-7,"NorthSolitary"
"-29",153.26,9,"EvansHead"
"-28.6",153.26,284,"CapeByron"
"-31.8",153.27,-776,"DiamondHead"
"-30",153.27,-6,"NorthSolitary"
"-29",153.27,8,"EvansHead"
"-28.6",153.27,200,"CapeByron"
"-31.8",153.28,-827,"DiamondHead"
"-30",153.28,-7,"NorthSolitary"
"-29",153.28,5,"EvansHead"
"-28.6",153.28,331,"CapeByron"
"-31.8",153.29,-883,"DiamondHead"
"-30",153.29,-11,"NorthSolitary"
"-29",153.29,4,"EvansHead"
"-28.6",153.29,337,"CapeByron"
"-31.8",153.3,-1002,"DiamondHead"
"-30",153.3,-19,"NorthSolitary"
"-29",153.3,3,"EvansHead"
"-28.6",153.3,237,"CapeByron"
"-31.8",153.31,-1043,"DiamondHead"
"-30",153.31,-25,"NorthSolitary"
"-29",153.31,2,"EvansHead"
