"secs","depth","temp","distance","abund","sal","GeoMnESD","biomass","NBSS.Slope","lat","long","site","GA_depth","Norm.GeoMnESD","Norm.Biomass","Norm.abund"
4730,20.8558901357298,21.30288,20650.6,4264.45686360307,35.65884,0.000442216620139846,162.305546588219,NA,-30.002,153.58252,"NorthSolitary",398,0.555128519898039,0.0112933241621151,0.186166810862331
4750,43.1993092479823,21.18775,20741.4,2884.78943263118,35.65925,0.000465395193127211,172.682031801023,NA,-30.002,153.583216666667,"NorthSolitary",391,0.584225316196097,0.0120153266668656,0.12593679942363
4770,62.5616041649998,20.926,20815.3500188593,2259.35851075812,35.646947368421,0.000439876959606096,86.8137956181382,NA,-30.0018947368421,153.583859649123,"NorthSolitary",391,0.552191469977225,0.00604055964979826,0.0986333270556578
4790,81.9220544470756,20.46705,20883.2,2647.15779051397,35.63405,0.000408335952275916,82.5984579954974,NA,-30.0018333333333,153.584458333333,"NorthSolitary",391,0.512597045168499,0.00574725375098002,0.115562881621689
4810,101.280692007987,19.9005263157895,20969.149979632,1980.46931863697,35.617947368421,0.000403299580184705,48.6804468750631,NA,-30.0018333333333,153.585192982456,"NorthSolitary",399,0.506274727875753,0.00338721675551548,0.0864582920765726
4830,116.179774947988,19.1770909090909,21037.6,917.647188872849,35.6060909090909,0.000406890581091698,23.4146862452148,NA,-30.0017575757576,153.585757575758,"NorthSolitary",399,0.510782624973383,0.00162920890554842,0.040060306883935
4850,117.017779183629,19.1342,21125.9,1341.02107815525,35.6063333333333,0.000387864964396777,31.5081438581738,NA,-30.0016666666667,153.586555555556,"NorthSolitary",399,0.486899166154808,0.0021923568837711,0.0585428872666318
4870,93.8351499210106,20.2283125,21173.7500158418,3705.18786915441,35.6280625,0.000425842106008479,116.557054732392,NA,-30.0016666666667,153.587078125,"NorthSolitary",399,0.534573074037772,0.00811011471970143,0.161751667635224
4890,70.0081734632503,20.9740625,21263,2612.1204634658,35.650125,0.000438343282592464,105.631107031573,NA,-30.00153125,153.587833333333,"NorthSolitary",405,0.55026619667947,0.00734988026217719,0.114033311116856
4910,52.1359786159459,21.27195,21319.3499791291,4241.54581952486,35.65745,0.000448630477207828,168.029705194453,-1.1215443276306,-30.0015,153.5884,"NorthSolitary",405,0.563180037681022,0.011691614793917,0.18516661877551
4930,32.2761877677438,21.32325,21405.1500193622,4683.82639639121,35.65525,0.000448988923916701,188.409917013287,-1.05297862739236,-30.0015,153.589091666667,"NorthSolitary",405,0.563630007179899,0.0131096830201779,0.204474579234511
4950,13.407618130382,21.3250555555556,21483.4,4815.70968182194,35.6536111111111,0.000455950024046138,207.9812585639,-1.11838346325967,-30.0013703703704,153.589722222222,"NorthSolitary",405,0.572368496498762,0.01447146953373,0.210232004257199
